case_id,school_id,automated_scope,suggested_query,retrieved_passage,source_url,relevance,matched_query_terms,include_in_audit,human_query,human_expected_scope,human_evidence_expected,human_expected_terms,human_expected_source_contains,reviewer_notes
retrieval-school-centre-pt9189-curriculum,CENTRE:PT9189,school,What curriculum or teaching approach does this preschool describe?,"be confident, creative individuals with strength of character. Our unique literature-based curriculum immerses every child in rich and exciting worlds, and opens up plenty of opportunities for them to tackle concepts in multiple learning areas. Through its integration with a robust activity-based approach, children learn a multitude of essential skills such as problem-solving, creative and critical thinking, and communication. Our bespoke Stanley Starfish™ Character Programme introuduces character traits via our unique literature-based approach. Using stories and authentic context, we provide children with ample opportunities to apply what they have learnt. Character, social, and emotional development are integrated into everyday school life, laying the foundation for satisfaction, security and success. This foundation begins at Star Learners – where character is not just taught, but caught. Ms Annie Principal, Star Learners @ Tampines Diploma in Preschool Education (Leadership), Diploma in Preschool Teaching “With 21 years of experience in early childhood education, my journey has been a constant source of eye-opening experiences and deep fulfilment. The driving force behind my passion lies in the joy of witnessing the growth of the children under",https://starlearners.com.sg/our-centres/tampines/,0.76,curriculum | teaching | approach | preschool,yes,What kind of curriculum does the preschool have?,school,yes,literature-based curriculum,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'literature-based curriculum' for the query; independent human verification not performed.
retrieval-school-centre-pt9189-language,CENTRE:PT9189,school,What language-learning opportunities are described?,"Close Search Star Learners at Tampines Our preschool and child care in Tampines provides all-rounded programmes for children 18 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. As an appointed Partner Operator (POP) by ECDA, Star Learners is committed to providing quality preschool and child care services whilst keeping school fees affordable. Experience this Centre Star Learners at Tampines Parents’ preferred preschool in Tampines Awarded the ECDA SPARK certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day child care school fees (before taxes and subsidies) are as follows: Singaporeans — $650 PRs/ Foreigners — $1230 A fully air-conditioned childcare centre with a well-designed environment conducive for fun and exciting learning Enrichment programmes available include Abacus and Speech & Drama (English and Chinese) Surrounded by many common outdoor playgrounds Strategically located near Tampines and Tampines East MRT Close to amenities like Tampines 1 and Tampines Library Age group: 18 months to 6 years old partners-partneroperator partners-spark partners-hpb Tampines 2 Tampines 3 Tampines 1",https://starlearners.com.sg/our-centres/tampines/,0.475,learning | opportunity,yes,what languages are taught in school?,school,yes,english and chinese,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'english and chinese' for the query; independent human verification not performed.
retrieval-school-centre-pt8963-outdoor,CENTRE:PT8963,school,Does this preschool describe outdoor learning or outdoor facilities?,"Close Search Star Learners at Tampines West Our preschool and child care in Tampines West provides all-rounded programmes for children 18 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. This is also Star Learners’ newest centre, opened in 2023. With well-designed learning areas and outdoor learning opportunities thanks to the nearby common playground outdoors, this is the preschool facility many parents have been dreaming of. Experience this Centre Star Learners at Tampines West Parents’ preferred preschool in Tampines West Awarded the ECDA SPARK Certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day child care school fees (before taxes and subsidies) are as follows: Singaporeans — $650 PRs/ Foreigners — $1100 Bright, newly renovated and fully air-conditioned Carefully designed learning spaces in a spacious and nurturing environment Equipped with a multi-purpose room for enrichment activities Enrichment programmes available include Art, English Speech & Drama, Little Mind Builder, Music and Young Scientist Common outdoor playground nearby for outdoor learning Located near Tampines West Community",https://starlearners.com.sg/our-centres/tampines-west/,0.76,preschool | outdoor | learning | facility,yes,Does this branch have an outdoor playground?,school,yes,common outdoor playground,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'common outdoor playground' for the query; independent human verification not performed.
retrieval-school-centre-pt8963-curriculum,CENTRE:PT8963,school,What curriculum or teaching approach does this preschool describe?,"an all-rounded manner, building on a foundation of close relationships between teachers, parents and the child. We aim to provide an environment where children grow up to be confident, creative individuals with strength of character. Our unique literature-based curriculum immerses every child in rich and exciting worlds, and opens up plenty of opportunities for them to tackle concepts in multiple learning areas. Through its integration with a robust activity-based approach, children learn a multitude of essential skills such as problem-solving, creative and critical thinking, and communication. Our bespoke Stanley Starfish™ Character Programme introuduces character traits via our unique literature-based approach. Using stories and authentic context, we provide children with ample opportunities to apply what they have learnt. Character, social, and emotional development are integrated into everyday school life, laying the foundation for satisfaction, security and success. This foundation begins at Star Learners – where character is not just taught, but caught. Ms Jasvin Principal, Star Learners @ Tampines West Bachelor of Arts (Honours) in Early Childhood Studies, Diploma in Biomedical Science, Diploma in Preschool Education (Teaching), Diploma in Early Childhood",https://starlearners.com.sg/our-centres/tampines-west/,0.76,curriculum | teaching | approach | preschool,yes,What kind of curriculum does the preschool have?,school,yes,literature-based curriculum,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'literature-based curriculum' for the query; independent human verification not performed.
retrieval-school-centre-pt8963-language,CENTRE:PT8963,school,What language-learning opportunities are described?,"Close Search Star Learners at Tampines West Our preschool and child care in Tampines West provides all-rounded programmes for children 18 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. This is also Star Learners’ newest centre, opened in 2023. With well-designed learning areas and outdoor learning opportunities thanks to the nearby common playground outdoors, this is the preschool facility many parents have been dreaming of. Experience this Centre Star Learners at Tampines West Parents’ preferred preschool in Tampines West Awarded the ECDA SPARK Certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day child care school fees (before taxes and subsidies) are as follows: Singaporeans — $650 PRs/ Foreigners — $1100 Bright, newly renovated and fully air-conditioned Carefully designed learning spaces in a spacious and nurturing environment Equipped with a multi-purpose room for enrichment activities Enrichment programmes available include Art, English Speech & Drama, Little Mind Builder, Music and Young Scientist Common outdoor playground nearby for outdoor learning Located near Tampines West Community",https://starlearners.com.sg/our-centres/tampines-west/,0.475,learning | opportunity,yes,what languages are taught in school?,school,yes,English Speech & Drama,starlearners.com.sg,The branch page lists English Speech & Drama as an enrichment programme.
retrieval-school-centre-pt9120-outdoor,CENTRE:PT9120,school,Does this preschool describe outdoor learning or outdoor facilities?,"Close Search Star Learners at Sengkang Rivervale Our infant care and child care in Sengkang Rivervale provides all-rounded programmes for children 2 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. As an appointed Partner Operator (POP) by ECDA, Star Learners is committed to providing quality preschool and child care services whilst keeping school fees affordable. Experience this Centre Star Learners at Sengkang Rivervale Parents’ preferred preschool in Sengkang Rivervale Awarded the ECDA SPARK certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day school fees (before taxes and subsidies) are as follows: Child Care — $650 for Singaporeans, $1230 for PRs/ Foreigners Infant Care — $1290 for Singaporeans, $1980 for PRs/ Foreigners Infant care and child care available at the centre A completely air-conditioned centre Experienced, nurturing educarers for the children Enrichment programmes available include Abacus and Speech & Drama (English and Chinese) Common outdoor playground conveniently located outside the centre for fun outdoor learning Age group: 2 months to 6 years old",https://starlearners.com.sg/our-centres/sengkang-rivervale/,0.57,preschool | outdoor | learning,yes,Does this branch have an outdoor playground?,school,yes,common outdoor playground,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'common outdoor playground' for the query; independent human verification not performed.
retrieval-school-centre-pt9120-curriculum,CENTRE:PT9120,school,What curriculum or teaching approach does this preschool describe?,"Close Search Star Learners at Sengkang Rivervale Our infant care and child care in Sengkang Rivervale provides all-rounded programmes for children 2 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. As an appointed Partner Operator (POP) by ECDA, Star Learners is committed to providing quality preschool and child care services whilst keeping school fees affordable. Experience this Centre Star Learners at Sengkang Rivervale Parents’ preferred preschool in Sengkang Rivervale Awarded the ECDA SPARK certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day school fees (before taxes and subsidies) are as follows: Child Care — $650 for Singaporeans, $1230 for PRs/ Foreigners Infant Care — $1290 for Singaporeans, $1980 for PRs/ Foreigners Infant care and child care available at the centre A completely air-conditioned centre Experienced, nurturing educarers for the children Enrichment programmes available include Abacus and Speech & Drama (English and Chinese) Common outdoor playground conveniently located outside the centre for fun outdoor learning Age group: 2 months to 6 years old",https://starlearners.com.sg/our-centres/sengkang-rivervale/,0.53,curriculum | approach | preschool,yes,What kind of curriculum does the preschool have?,school,yes,curriculum,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'curriculum' for the query; independent human verification not performed.
retrieval-school-centre-pt9120-language,CENTRE:PT9120,school,What language-learning opportunities are described?,"creative and emotional potential. At Star Learners’ preschool and child care in Sengkang Rivervale, we pride ourselves in helping children develop in an all-rounded manner, building on a foundation of close relationships between teachers, parents and the child. We aim to provide an environment where children grow up to be confident, creative individuals with strength of character. Our unique literature-based curriculum immerses every child in rich and exciting worlds, and opens up plenty of opportunities for them to tackle concepts in multiple learning areas. Through its integration with a robust activity-based approach, children learn a multitude of essential skills such as problem-solving, creative and critical thinking, and communication. Our bespoke Stanley Starfish™ Character Programme introuduces character traits via our unique literature-based approach. Using stories and authentic context, we provide children with ample opportunities to apply what they have learnt. Character, social, and emotional development are integrated into everyday school life, laying the foundation for satisfaction, security and success. This foundation begins at Star Learners – where character is not just taught, but caught. BENEFITS OF OUR LITERATURE-BASED APPROACH Increases verbal",https://starlearners.com.sg/our-centres/sengkang-rivervale/,0.475,learning | opportunity,yes,what languages are taught in school?,school,yes,english and chinese,starlearners.com.sg,The branch page lists Speech & Drama enrichment in English and Chinese.
retrieval-school-centre-pt8352-curriculum,CENTRE:PT8352,school,What curriculum or teaching approach does this preschool describe?,"Register Now Maximize Your Child's Unique Potential We are your partner on your child's development journey. To Impart Valuable Knowledge and Cultivate Wisdom Every child is unique and special. At Sunshine Kids Educare, we value this uniqueness in our approach to education. ​ We offer programmes designed to encourage exploration, reasoning, problem-solving, linguistics development, respectful socialization, and healthy emotional management. Our Programmes Our Fees Your Partner in Child Development A child’s mind is vastly powerful and complex, the growth of which requires a broad spectrum of experiences and activities. We believe in being a close partner of families so that together we provide a comprehensive umbrella of empowerment that is immensely valuable to the children. At Sunshine Kids Educare, parents, guardians, and caretakers are often engaged as part of the educational journey of our children through a variety of events and activities. We believe in making our school a cozy second home for every child. Find Out More Our Vision and Goals We want to help create a world where every child is equipped with the knowledge and wisdom to",https://www.sunshinekidseducare.online/,0.34,curriculum | approach,yes,What kind of curriculum does the preschool have?,school,no,,www.sunshinekidseducare.online,Assistant-assisted label: saved passage does not answer the query; independent human verification not performed.
retrieval-school-centre-pt8352-fees,CENTRE:PT8352,school,What does the page say about fees or subsidies?,"Register Now Maximize Your Child's Unique Potential We are your partner on your child's development journey. To Impart Valuable Knowledge and Cultivate Wisdom Every child is unique and special. At Sunshine Kids Educare, we value this uniqueness in our approach to education. ​ We offer programmes designed to encourage exploration, reasoning, problem-solving, linguistics development, respectful socialization, and healthy emotional management. Our Programmes Our Fees Your Partner in Child Development A child’s mind is vastly powerful and complex, the growth of which requires a broad spectrum of experiences and activities. We believe in being a close partner of families so that together we provide a comprehensive umbrella of empowerment that is immensely valuable to the children. At Sunshine Kids Educare, parents, guardians, and caretakers are often engaged as part of the educational journey of our children through a variety of events and activities. We believe in making our school a cozy second home for every child. Find Out More Our Vision and Goals We want to help create a world where every child is equipped with the knowledge and wisdom to",https://www.sunshinekidseducare.online/,0.2375,fees,yes,How much are the school fees and is there any subsidies?,school,yes,Full Day: $880 | Half Day: $595 | Maximum Possible Subsidies,www.sunshinekidseducare.online,"The official fees page lists full-day childcare at $880, half-day childcare at $595 before subsidies, and describes subsidies for Singapore citizens."
retrieval-school-centre-pt8352-enrichment,CENTRE:PT8352,school,What enrichment activities or programmes are described?,"Register Now Maximize Your Child's Unique Potential We are your partner on your child's development journey. To Impart Valuable Knowledge and Cultivate Wisdom Every child is unique and special. At Sunshine Kids Educare, we value this uniqueness in our approach to education. ​ We offer programmes designed to encourage exploration, reasoning, problem-solving, linguistics development, respectful socialization, and healthy emotional management. Our Programmes Our Fees Your Partner in Child Development A child’s mind is vastly powerful and complex, the growth of which requires a broad spectrum of experiences and activities. We believe in being a close partner of families so that together we provide a comprehensive umbrella of empowerment that is immensely valuable to the children. At Sunshine Kids Educare, parents, guardians, and caretakers are often engaged as part of the educational journey of our children through a variety of events and activities. We believe in making our school a cozy second home for every child. Find Out More Our Vision and Goals We want to help create a world where every child is equipped with the knowledge and wisdom to",https://www.sunshinekidseducare.online/,0.475,activity | programme,yes,what kind of activities will the children experience?,school,no,,www.sunshinekidseducare.online,Assistant-assisted label: no defensible topic-specific evidence was found in the saved passage; independent human verification not performed.
retrieval-school-centre-rc1848-outdoor,CENTRE:RC1848,school,Does this preschool describe outdoor learning or outdoor facilities?,"Sign up for our playgroup programme, your child can learn through play!  Registration for 2027 is opened! Admission for Children born from 2021 to 2024 Playgroup/Pre-Nursery/Nursery/K1/K2 Please contact us at 65114103 or email to office@riverlifekindergarten.org.sg to arrange for a school visit. Welcome to Riverlife Kindergarten For school visits, every child must be accompanied by their parent/s. Hear about our unique curriculum, view the premises, consult our team on any other matters concerning your child's early years education. Find out more Curriculum Riverlife Kindergarten provides fun learning experiences necessary for the holistic growth and development of joyful, life-long learners. Aesthetics & Creative Expression Discovery of the World Outdoor Activities Language & Literacy Motor Skills Development Practical Life Exercises Numeracy Information and Communication Technology (ICT) Social & Emotional Development Bravo! Migrant Workers 3 video clips prepared for the migrant workers from the children together with their families. Testimonials Would you recommend Riverlife Kindergarten to others? The programme is holistic and provides a good foundation for my child. The management team provides good leadership, and the teachers communicate effectively with parents. Persis,",https://www.riverlifekindergarten.org.sg/,0.38,outdoor | learning,yes,Does this branch have an outdoor playground?,school,yes,outdoor,www.riverlifekindergarten.org.sg,Assistant-assisted label: passage contains topic-specific evidence 'outdoor' for the query; independent human verification not performed.
retrieval-school-centre-rc1848-curriculum,CENTRE:RC1848,school,What curriculum or teaching approach does this preschool describe?,"Sign up for our playgroup programme, your child can learn through play!  Registration for 2027 is opened! Admission for Children born from 2021 to 2024 Playgroup/Pre-Nursery/Nursery/K1/K2 Please contact us at 65114103 or email to office@riverlifekindergarten.org.sg to arrange for a school visit. Welcome to Riverlife Kindergarten For school visits, every child must be accompanied by their parent/s. Hear about our unique curriculum, view the premises, consult our team on any other matters concerning your child's early years education. Find out more Curriculum Riverlife Kindergarten provides fun learning experiences necessary for the holistic growth and development of joyful, life-long learners. Aesthetics & Creative Expression Discovery of the World Outdoor Activities Language & Literacy Motor Skills Development Practical Life Exercises Numeracy Information and Communication Technology (ICT) Social & Emotional Development Bravo! Migrant Workers 3 video clips prepared for the migrant workers from the children together with their families. Testimonials Would you recommend Riverlife Kindergarten to others? The programme is holistic and provides a good foundation for my child. The management team provides good leadership, and the teachers communicate effectively with parents. Persis,",https://www.riverlifekindergarten.org.sg/,0.34,curriculum | approach,yes,What kind of curriculum does the preschool have?,school,yes,learn through play,www.riverlifekindergarten.org.sg,Assistant-assisted label: passage contains topic-specific evidence 'learn through play' for the query; independent human verification not performed.
